Tenure Months,Monthly Charges,Total Charges,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Actual Churn,Churn Probability,Risk Level,Recommendation
2,80.65,144.15,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.6578067402012283,High,Offer personalized discount
15,99.1,1426.4,Female,No,No,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,0.32391490842137516,Medium,Send promotional email
8,80.65,633.3,Female,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,0.34831187211355724,Medium,Send promotional email
18,95.45,1752.55,Male,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.5350121162352602,Medium,Send promotional email
9,94.4,857.25,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,1,0.4721224143870381,Medium,Send promotional email
1,79.35,79.35,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.7355779890050969,High,Offer premium support
7,75.15,496.9,Female,No,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,0.5224759813451846,Medium,Send promotional email
12,78.95,927.35,Female,No,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.5006819138231721,Medium,Send promotional email
5,21.05,113.85,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,0.16696361207950564,Low,No action required
25,98.5,2514.5,Female,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.4366477080337878,Medium,Send promotional email
68,110.0,7611.85,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1,0.24825571368012977,Low,No action required
55,96.75,5238.9,Male,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.09813700551600052,Low,No action required
37,76.5,2868.15,Female,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.1569194493608702,Low,No action required
10,100.25,1064.65,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.5698247638154296,Medium,Send promotional email
3,74.4,229.55,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.7140903072962257,High,Offer premium support
27,78.05,2135.5,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1,0.3085214743551592,Medium,Send promotional email
25,58.6,1502.65,Female,No,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,0.4214319690586106,Medium,Send promotional email
1,35.45,35.45,Male,No,No,No,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.8036737420824727,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
2,44.35,81.25,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,0.5285547443061321,Medium,Send promotional email
1,70.45,70.45,Female,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,0.527533322946556,Medium,Send promotional email
8,71.15,563.65,Female,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,1,0.42487613791472817,Medium,Send promotional email
1,45.65,45.65,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.6449313899013395,High,Offer premium support
7,95.0,655.5,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,1,0.6403501847162606,High,Offer personalized discount
20,82.4,1592.35,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,1,0.32850876103972676,Medium,Send promotional email
4,70.9,273.0,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,0.6740684293720483,High,Offer premium support
58,45.3,2651.2,Male,Yes,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.46421824118533933,Medium,Send promotional email
2,104.4,242.8,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.662321705133408,High,Offer personalized discount
53,94.85,5000.2,Female,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1,0.33840870995578565,Medium,Send promotional email
15,74.45,1145.7,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,0.5208746401668095,Medium,Send promotional email
7,76.45,503.6,Female,Yes,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,0.3923128449195989,Medium,Send promotional email
1,29.95,29.95,Female,No,No,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,0.44513301667880784,Medium,Send promotional email
8,84.5,662.65,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),1,0.5857401061331498,Medium,Send promotional email
13,79.25,1111.65,Female,No,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,1,0.5645367792713588,Medium,Send promotional email
1,24.8,24.8,Female,No,Yes,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.6426048390197698,High,Offer premium support
6,91.0,531.0,Male,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.5936878029013817,Medium,Send promotional email
1,79.9,79.9,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1,0.6705644100389142,High,Offer premium support
19,106.6,1934.45,Female,No,No,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.5000941886708659,Medium,Send promotional email
2,46.0,84.5,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,0.5681984414568494,Medium,Send promotional email
4,70.15,268.35,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.6954030216403717,High,Offer premium support
4,50.05,179.35,Male,No,Yes,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,1,0.2991158851233778,Low,No action required
1,55.2,55.2,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1,0.576960552395547,Medium,Send promotional email
1,84.6,84.6,Male,No,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,1,0.6133253268872646,High,Offer personalized discount
2,54.4,114.1,Male,No,No,No,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1,0.5421269894817687,Medium,Send promotional email
11,95.0,1120.3,Female,Yes,No,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.6350574180797022,High,Offer personalized discount
15,74.4,1074.3,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.6411956204294473,High,Offer premium support
1,48.55,48.55,Male,No,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,0.46861087294795645,Medium,Send promotional email
2,70.4,147.15,Female,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,0.6506184341487063,High,Offer premium support
1,40.2,40.2,Male,Yes,Yes,No,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,1,0.7757112452404326,High,Offer premium support
2,44.6,80.55,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,0.5219458467338226,Medium,Send promotional email
3,41.15,132.2,Male,Yes,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.7663010288771808,High,Offer premium support
13,106.9,1364.3,Male,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.7330961346805238,High,Offer personalized discount
59,19.35,1099.6,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1,0.19912320015810292,Low,No action required
16,94.45,1511.2,Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.6264158211901466,High,Offer personalized discount
1,24.8,24.8,Male,No,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,0.5218779800089555,Medium,Send promotional email
1,70.6,70.6,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,0.7343898298805103,High,Offer premium support
5,85.4,401.1,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,1,0.7754750105310619,High,Offer personalized discount
52,105.05,5624.85,Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.5628807435493778,Medium,Send promotional email
18,95.15,1779.95,Male,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,1,0.49157450438953104,Medium,Send promotional email
1,70.0,70.0,Male,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,0.7951785662497147,High,Offer premium support
8,74.5,606.55,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.6466448157044957,High,Offer premium support
10,44.85,435.4,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,0.34811043458535723,Medium,Send promotional email
24,76.1,1712.7,Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.5699442454327864,Medium,Send promotional email
1,73.6,73.6,Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,0.6310167476881678,High,Offer premium support
4,95.45,396.1,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.8466321330184914,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
32,74.9,2303.35,Male,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.5673965977641788,Medium,Send promotional email
5,80.6,415.55,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.7090334243437052,High,Offer personalized discount
38,80.3,3058.65,Female,No,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),1,0.25203352286488007,Low,No action required
24,93.15,2231.05,Male,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.5737389491821853,Medium,Send promotional email
54,82.45,4350.1,Female,Yes,No,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),1,0.33355287289832747,Medium,Send promotional email
2,70.35,139.05,Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.6643211506626473,High,Offer premium support
7,73.85,511.25,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.6832506139034514,High,Offer premium support
2,80.6,155.8,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,1,0.747919056386821,High,Offer personalized discount
68,75.8,5293.95,Male,No,Yes,No,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),1,0.24710068195115498,Low,No action required
43,104.6,4759.85,Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,1,0.4349228978410247,Medium,Send promotional email
63,103.4,6603.0,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.5455366842557098,Medium,Send promotional email
2,90.4,168.2,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.7972084412538165,High,Offer personalized discount
4,84.8,371.9,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,0.7825667928202428,High,Offer personalized discount
21,41.9,840.1,Female,Yes,No,No,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.5090412617760315,Medium,Send promotional email
10,80.25,846.0,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1,0.6557036801314949,High,Offer personalized discount
27,30.75,805.1,Male,Yes,Yes,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),1,0.4415736406353981,Medium,Send promotional email
5,96.5,492.55,Male,No,No,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),1,0.7476936650509135,High,Offer personalized discount
2,85.65,181.5,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.8180810957106515,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
25,104.95,2566.5,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1,0.6004517152021811,High,Offer personalized discount
1,50.65,50.65,Male,No,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,1,0.49446532767389934,Medium,Send promotional email
1,90.85,90.85,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1,0.8057006286772839,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
11,19.95,214.75,Male,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,0.32678099246615583,Medium,Send promotional email
55,85.45,4874.7,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,1,0.4746351123469935,Medium,Send promotional email
34,73.95,2524.45,Female,No,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,0.4547100529660403,Medium,Send promotional email
69,99.45,7007.6,Male,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,0.5196853743135531,Medium,Send promotional email
1,19.9,19.9,Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1,0.5625526589686867,Medium,Send promotional email
1,19.6,19.6,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1,0.4582520562262979,Medium,Send promotional email
3,81.35,233.7,Male,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.7762568001323309,High,Offer personalized discount
22,83.3,1845.9,Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,1,0.5441196672491747,Medium,Send promotional email
1,75.3,75.3,Female,Yes,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,0.7628115290204951,High,Offer premium support
61,19.4,1182.55,Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1,0.44032442724057924,Medium,Send promotional email
12,45.4,518.9,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,0.3138651260805808,Medium,Send promotional email
60,105.9,6396.45,Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.5218665485833347,Medium,Send promotional email
1,69.55,69.55,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,0.8048827724013772,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
28,81.05,2227.1,Female,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.4977592044757242,Medium,Send promotional email
4,101.15,385.9,Male,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,1,0.7585321582457315,High,Offer personalized discount
7,99.8,673.25,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.8224451474997292,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
13,55.95,734.35,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1,0.3524932151525967,Medium,Send promotional email
1,55.0,55.0,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.6432334127711969,High,Offer premium support
1,74.7,74.7,Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.8271893858653692,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
24,80.25,1861.5,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.5938519581124038,Medium,Send promotional email
5,96.1,453.4,Male,No,No,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.6773147931185254,High,Offer personalized discount
15,69.0,994.8,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,0.3795849551448307,Medium,Send promotional email
48,45.3,2145.0,Female,No,Yes,No,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1,0.14824787629506644,Low,No action required
8,83.55,680.05,Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.7228234602038421,High,Offer personalized discount
1,74.35,74.35,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.8300593075912797,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
2,74.4,139.4,Female,No,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.5838722037476995,Medium,Send promotional email
22,43.75,903.6,Male,No,No,No,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),1,0.4763417713896243,Medium,Send promotional email
5,28.45,131.05,Female,Yes,No,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,0.5602962383806682,Medium,Send promotional email
12,99.7,1238.45,Female,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1,0.6746073134536718,High,Offer personalized discount
20,94.1,1782.4,Female,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.6152033579122617,High,Offer personalized discount
2,94.2,167.5,Male,No,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.6871893596834319,High,Offer personalized discount
6,80.5,502.85,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,1,0.7286716804847031,High,Offer personalized discount
5,74.35,334.8,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.7657813442186645,High,Offer premium support
40,104.8,4131.95,Male,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),1,0.5143939213664677,Medium,Send promotional email
27,75.2,1929.35,Female,Yes,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,0.48792574331372085,Medium,Send promotional email
23,75.6,1758.6,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,0.3650194359751399,Medium,Send promotional email
34,100.05,3480.0,Male,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.6643607291919623,High,Offer personalized discount
1,85.0,85.0,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.8725942636118884,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
10,86.05,834.1,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1,0.7169171370854308,High,Offer personalized discount
13,45.55,597.0,Male,No,No,No,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),1,0.39806979934671416,Medium,Send promotional email
39,86.3,3266.0,Male,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,1,0.48701716065571,Medium,Send promotional email
32,80.35,2596.15,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,0.41889210814001004,Medium,Send promotional email
35,100.25,3527.6,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.6138385709398082,High,Offer personalized discount
56,100.3,5614.45,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),1,0.2855844512770089,Low,No action required
12,19.0,233.55,Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,0.1524585429486537,Low,No action required
1,75.3,75.3,Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,1,0.4990601708420158,Medium,Send promotional email
4,89.2,346.2,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.8112949665062714,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
1,85.7,85.7,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,0.8676251715641936,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
12,61.65,713.75,Female,No,No,No,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,1,0.2262831375105318,Low,No action required
65,105.25,6786.4,Female,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),1,0.461753759753968,Medium,Send promotional email
9,29.95,248.95,Male,No,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.4759173431798232,Medium,Send promotional email
9,65.0,663.05,Female,No,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,1,0.30259891695615193,Medium,Send promotional email
